stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PE1292,PE1292,PE1292-Av. Departamental Esq. / Avenida La Florida,-33.5109086701654,-70.5893059509173,
PE7,PE7,PE7-Parada  / Centro De Salud   La Florida,-33.5142431183119,-70.5854729408906,
PE8,PE8,PE8-Parada  / Liceo Ténico   La Florida,-33.5163284471355,-70.5839144449906,
PE9,PE9,PE9-Avenida La Florida Esq. / Real Pontevera,-33.5180733991654,-70.5825610251366,
PE10,PE10,PE10-Parada 1 / Paradero 14   Av. La Florida,-33.5219223688043,-70.5792820407227,
PE11,PE11,PE11-Parada  / Paradero 15   Av. La Florida,-33.5254935448589,-70.577739053154,
PE12,PE12,PE12-Parada  / Paradero 16   Av. La Florida,-33.5284954149349,-70.5764550252219,
PE13,PE13,PE13-Parada  / Paradero 17   Av. La Florida,-33.5320014556723,-70.5749890270969,
PE14,PE14,PE14-Parada 1 / Paradero 18   Av. La Florida,-33.5353864485375,-70.5738069557849,
PE15,PE15,PE15-Parada 1 / Paradero 19   Av. La Florida,-33.5393875270768,-70.5720740177604,
PE16,PE16,PE16-Parada  / Boston College   La Florida,-33.5433996503246,-70.5703216335405,
PE17,PE17,PE17-Parada 1 / Paradero 21   Av. La Florida,-33.547146532972,-70.5686750185775,
PE18,PE18,PE18-Parada  / Paradero 22   Av. La Florida,-33.5499939327079,-70.566521533429,
PE19,PE19,PE19-Parada 1 / Paradero 23   Av. La Florida,-33.5520265964767,-70.5648590203867,
PE20,PE20,PE20-Parada  / Cementerio   Parque El Prado,-33.5548586728668,-70.5623429981391,
PE21,PE21,PE21-Parada  / Paradero 25   Av. La Florida,-33.5563586665155,-70.5611160043839,
PE22,PE22,PE22-Parada 1 / Paradero 26   Av. La Florida,-33.5589243040306,-70.5591479706572,
PF1,PF1,PF1-Parada  / Colegio Mayor,-33.5615607521916,-70.5566390452079,
PF2,PF2,PF2-Parada  / Liceo   Juan Mackenna,-33.5639647121306,-70.5553020351417,
PF3,PF3,PF3-Parada 1 / Mall   Plaza Tobalaba,-33.5691467308167,-70.5548830346173,
PF4,PF4,PF4-Av. Camilo Henríquez Esq. / Av. Gabriela Oriente,-33.5740267875485,-70.5548389983924,
PF5,PF5,PF5-Parada 2 / Hospital El Peral,-33.5786057879128,-70.5519050029151,
PF829,PF829,PF829-Av. Camilo Henríquez Esq. / Dr. Carlos Laison,-33.5760643553533,-70.5533194731143,
